Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price
MSFT,MICROSOFT CORP,Information Technology,Equity,"765,839,273.20",5.62,"765,839,273.20","2,008,232.00",381.35
AAPL,APPLE INC,Information Technology,Equity,"757,629,957.02",5.56,"757,629,957.02","3,978,731.00",190.42
NVDA,NVIDIA CORP,Information Technology,Equity,"679,766,993.43",4.98,"679,766,993.43","6,319,299.00",107.57
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"459,318,037.36",3.37,"459,318,037.36","2,534,588.00",181.22
META,META PLATFORMS INC CLASS A,Communication,Equity,"323,222,858.01",2.37,"323,222,858.01","591,669.00",546.29
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"254,946,829.65",1.87,"254,946,829.65","494,265.00",515.81
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"242,560,947.06",1.78,"242,560,947.06","1,587,233.00",152.82
AVGO,BROADCOM INC,Information Technology,Equity,"213,988,157.30",1.57,"213,988,157.30","1,241,951.00",172.30
GOOG,ALPHABET INC CLASS C,Communication,Equity,"203,592,808.38",1.49,"203,592,808.38","1,310,374.00",155.37
TSLA,TESLA INC,Consumer Discretionary,Equity,"189,424,938.00",1.39,"189,424,938.00","750,495.00",252.40
JPM,JPMORGAN CHASE & CO,Financials,Equity,"172,294,049.07",1.26,"172,294,049.07","758,637.00",227.11
LLY,ELI LILLY,Health Care,Equity,"155,844,161.07",1.14,"155,844,161.07","216,177.00",720.91
V,VISA INC CLASS A,Financials,Equity,"151,214,050.13",1.11,"151,214,050.13","465,833.00",324.61
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"147,609,135.20",1.08,"147,609,135.20","248,333.00",594.40
XOM,EXXON MOBIL CORP,Energy,Equity,"118,658,281.02",0.87,"118,658,281.02","1,187,414.00",99.93
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"115,456,836.30",0.85,"115,456,836.30","119,730.00",964.31
MA,MASTERCARD INC CLASS A,Financials,Equity,"109,974,641.60",0.81,"109,974,641.60","220,240.00",499.34
NFLX,NETFLIX INC,Communication,Equity,"106,456,853.39",0.78,"106,456,853.39","115,567.00",921.17
WMT,WALMART INC,Consumer Staples,Equity,"106,224,368.25",0.78,"106,224,368.25","1,172,325.00",90.61
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"104,246,438.04",0.76,"104,246,438.04","637,359.00",163.56
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"96,892,648.98",0.71,"96,892,648.98","651,642.00",148.69
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"94,754,954.34",0.69,"94,754,954.34","267,957.00",353.62
ABBV,ABBVIE INC,Health Care,Equity,"83,387,623.80",0.61,"83,387,623.80","478,689.00",174.20
KO,COCA-COLA,Consumer Staples,Equity,"74,093,220.56",0.54,"74,093,220.56","1,047,106.00",70.76
BAC,BANK OF AMERICA CORP,Financials,Equity,"64,528,781.10",0.47,"64,528,781.10","1,799,966.00",35.85
CRM,SALESFORCE INC,Information Technology,Equity,"63,686,881.20",0.47,"63,686,881.20","249,635.00",255.12
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,"63,507,726.36",0.47,"63,507,726.36","420,108.00",151.17
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"61,027,957.57",0.45,"61,027,957.57","1,078,423.00",56.59
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"59,724,850.74",0.44,"59,724,850.74","194,683.00",306.78
CVX,CHEVRON CORP,Energy,Equity,"59,596,099.64",0.44,"59,596,099.64","441,518.00",134.98
ABT,ABBOTT LABORATORIES,Health Care,Equity,"58,200,388.50",0.43,"58,200,388.50","467,473.00",124.50
ORCL,ORACLE CORP,Information Technology,Equity,"57,494,385.90",0.42,"57,494,385.90","431,154.00",133.35
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity,"56,902,919.95",0.42,"56,902,919.95","247,889.00",229.55
WFC,WELLS FARGO,Financials,Equity,"56,026,091.83",0.41,"56,026,091.83","887,753.00",63.11
LIN,LINDE PLC,Materials,Equity,"55,971,216.12",0.41,"55,971,216.12","129,599.00",431.88
PEP,PEPSICO INC,Consumer Staples,Equity,"53,453,454.16",0.39,"53,453,454.16","370,844.00",144.14
MRK,MERCK & CO INC,Health Care,Equity,"53,027,914.50",0.39,"53,027,914.50","683,790.00",77.55
GE,GE AEROSPACE,Industrials,Equity,"52,786,919.71",0.39,"52,786,919.71","290,821.00",181.51
T,AT&T INC,Communication,Equity,"51,101,543.22",0.37,"51,101,543.22","1,936,398.00",26.39
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity,"49,193,229.69",0.36,"49,193,229.69","555,291.00",88.59
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,"48,787,721.96",0.36,"48,787,721.96","1,136,713.00",42.92
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"48,377,019.86",0.35,"48,377,019.86","169,613.00",285.22
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,"46,721,257.36",0.34,"46,721,257.36","95,443.00",489.52
RTX,RTX CORP,Industrials,Equity,"45,672,643.03",0.33,"45,672,643.03","359,429.00",127.07
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"44,136,599.52",0.32,"44,136,599.52","103,258.00",427.44
NOW,SERVICENOW INC,Information Technology,Equity,"43,478,210.57",0.32,"43,478,210.57","55,493.00",783.49
PGR,PROGRESSIVE CORP,Financials,Equity,"43,094,691.36",0.32,"43,094,691.36","157,752.00",273.18
INTU,INTUIT INC,Information Technology,Equity,"42,639,807.33",0.31,"42,639,807.33","73,839.00",577.47
DIS,WALT DISNEY,Communication,Equity,"41,809,917.42",0.31,"41,809,917.42","490,554.00",85.23
